단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
604.0,254.6,228.0,1.1166666666666667,0.06365,65.54,98.7,61,12,95,0.732778
320.0,122.7,77.0,1.5935064935064935,0.06135,90.62,81.4,24,92,210,1.593427
320.0,162.0,500.0,0.324,0.081,62.84,68.7,137,130,79,1.815297
625.0,60.2,52.0,1.1576923076923078,0.0602,80.98,85.7,52,824,34,1.039721
552.0,219.4,6.0,36.56666666666667,0.1097,53.27,120.0,43,218,122,1.562582
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,59.77,76.5,100,94,129,0.5479724
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,50.38,66.1,67,68,62,0.2916726
460.0,155.8,5.0,31.160000000000004,0.0779,79.06,112.4,84,162,206,1.361657
324.0,44.6,41.0,1.0878048780487806,0.0446,49.32,91.3,66,1015,54,0.7530965
460.0,155.6,33.0,4.715151515151515,0.0778,42.51,108.9,5,93,165,1.013855
604.0,207.4,550.0,0.3770909090909091,0.05185,65.49,102.3,52,7,173,1.874971
625.0,220.3,201.0,1.0960199004975124,0.11015,15.5,92.7,110,103,24,0.9501897
450.0,124.8,227.0,0.5497797356828193,0.0624,95.66,51.5,77,78,394,3.592049
314.0,97.4,300.0,0.3246666666666666,0.0487,56.52,103.5,71,72,93,0.4555725
314.0,44.6,35.0,1.2742857142857142,0.0743333333333333,56.39,105.5,58,0,0,0.5272802
294.0,76.2,11.0,6.927272727272728,0.0762,80.26,68.7,22,74,116,0.08812822
146.0,189.1,1600.0,0.1181875,0.047275,77.52,93.3,111,107,134,0.4288969
460.0,112.4,24.0,4.683333333333334,0.0562,39.03,69.4,36,73,114,1.113164
625.0,155.4,34.0,4.570588235294117,0.0777,25.43,81.6,71,69,29,0.9041876
324.0,54.4,119.0,0.4571428571428571,0.0544,41.84,68.1,25,16,275,1.702155
625.0,220.3,201.0,1.0960199004975124,0.11015,33.13,129.8,108,103,50,0.9501897
460.0,51.5,36.0,1.4305555555555556,0.0515,37.81,85.4,68,70,77,0.8660321
324.0,66.2,31.0,2.135483870967742,0.0662,43.25,101.7,56,58,144,0.8130776
604.0,208.7,500.0,0.4174,0.052175,22.33,80.6,51,57,35,1.716412
350.0,128.0,273.0,0.4688644688644688,0.064,26.73,90.0,126,118,18,0.2007852
560.0,288.2,373.0,0.7726541554959785,0.07205,99.52,21.1,116,107,135,0.7729153
324.0,66.2,31.0,2.135483870967742,0.0662,82.82,88.0,53,56,296,0.8130776
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,71.25,136.3,69,542,96,0.2916726
460.0,33.5,18.0,1.8611111111111112,0.0558333333333333,98.13,30.0,48,0,0,2.023612
190.0,88.3,458.0,0.1927947598253275,0.022075,95.15,38.3,67,71,141,1.169382
800.0,66.0,69.0,0.9565217391304348,0.066,47.17,121.7,10,28,251,0.768085
450.0,95.8,72.0,1.3305555555555555,0.0958,91.96,90.6,55,50,572,1.355596
294.0,80.1,254.0,0.3153543307086613,0.0800999999999999,73.45,123.7,13,69,325,0.319741
146.0,187.4,1600.0,0.117125,0.04685,21.98,60.4,137,124,26,0.3946269
800.0,66.0,49.0,1.346938775510204,0.066,57.07,130.0,28,28,212,0.4358755
460.0,155.6,33.0,4.715151515151515,0.0778,31.46,68.9,28,28,123,1.013855
